title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
jeanne du barry,2023-05-16,"Drame, Historique, Romance",116,Maïwenn," Maïwenn, Teddy Lussi-Modeste"," Maïwenn, Johnny Depp, Benjamin Lavernhe",France,Le Pacte,356 152,"3,1","3,6",306952,0.0,Spring
le petit spirou,2017-09-27,"Comédie, Famille",86,Nicolas Bary,"Laurent Turner, Nicolas Bary","Sacha Pinault, Pierre Richard, François Damiens",France,"La Belle Company , Apollo Films",224 512,"2,8","2,0",534117,9850941.0,Autumn
les misérables,2019-11-20,"Policier, Drame",105,Ladj Ly,"Ladj Ly, Giordano Gederlini","Damien Bonnard, Alexis Manenti, Djebril Zonga",France,Le Pacte,559 378,"4,3","4,0",1555798,0.0,Autumn
black adam,2022-10-19,"Action, Fantastique, Aventure",125,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",U.S.A.,Warner Bros. France,713 308,"2,1","2,8",127921,200000000.0,Autumn
the hunger games,2012-03-21,"Action, Drame, Science fiction",142,Gary Ross,"Gary Ross, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",U.S.A.,Metropolitan FilmExport,509 426,"3,4","3,8",6032929,75000000.0,Spring
"simone, le voyage du siècle",2022-10-12,"Biopic, Drame",140,Olivier Dahan,Olivier Dahan,"Elsa Zylberstein, Rebecca Marder, Élodie Bouchez",France,Warner Bros. France,486 242,"3,1","4,1",228761,0.0,Autumn
les algues vertes,2023-07-12,"Drame, Thriller",107,Pierre Jolivet,"Pierre Jolivet, Inès Léraud","Céline Sallette, Nina Meurisse, Julie Ferrier",France,Haut et Court,125 566,"3,5","4,0",36898,3700000.0,Summer
where the crawdads sing,2022-08-17,"Drame, Thriller",125,Olivia Newman,Lucy Alibar,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson",U.S.A.,Sony Pictures Releasing France,110 381,"2,6","4,0",116005,24000000.0,Summer
le processus de paix,2023-06-14,"Romance, Comédie dramatique",92,Ilan Klipper,"Ilan Klipper, Camille Chamoux","Camille Chamoux, Damien Bonnard, Ariane Ascaride",France,Le Pacte,34 918,"3,6","2,6",151934,0.0,Summer
une belle course,2022-09-21,"Comédie dramatique, Drame, Comédie",91,Christian Carion,Cyril Gely,"Line Renaud, Dany Boon, Alice Isaaz",France,Pathé,180 034,"3,1","3,9",69304,2900000.0,Autumn
stillwater,2021-09-22,"Thriller, Drame",140,Tom McCarthy,"Tom McCarthy, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin",U.S.A.,Universal Pictures International France,135 483,"3,3","3,6",208005,20000000.0,Autumn
don't worry darling,2022-09-21,Thriller,123,Olivia Wilde,Katie Silberman,"Florence Pugh, Harry Styles, Chris Pine",U.S.A.,Warner Bros. France,151 272,"3,1","3,7",93212,35000000.0,Autumn
barbaque,2021-10-27,Comédie,88,Fabrice Eboué,"Fabrice Eboué, Vincent Solignac","Fabrice Eboué, Marina Foïs, Nicolas Lumbreras",France,"Apollo Films , TF1 Studio",126 252,"3,3","3,6",234743,0.0,Autumn
zillion,2023-06-21,"Drame, Biopic",138,Robin Pront,Robin Pront,"Jonas Vermeulen, Matteo Simoni, Charlotte Timmers",Belgique,CGR EVENTS,278,"2,9","3,6",3458,7492030.0,Summer
